country,model,vintage,panel,n_obs,RMSFE,MAE,rel_RMSFE_vs_ARMA,dm_stat_vs_ARMA,dm_pval_vs_ARMA
tr,elasticnet,m1,post_covid,16,0.019525362800649603,0.01518938356422175,1.6718283657276187,3.0050263792870453,0.002655578169738826
tr,elasticnet,m1,full,32,0.049002407200421476,0.025725201401759927,1.3529000149251775,1.263797779733995,0.2063026183165766
tr,elasticnet,m2,pre_crisis,8,0.014444915117101907,0.013150634324038037,0.7586107335344544,-0.7546708332466494,0.45044651111215406
tr,elasticnet,m2,covid,7,0.08595028942050131,0.053007143113862655,1.1849217190355472,0.6488287002781533,0.5164491043966153
tr,elasticnet,m2,post_covid,16,0.023137040364999258,0.017687017034663646,1.9810725555329372,2.9529294822617094,0.0031477386062859214
tr,elasticnet,m2,full,32,0.04418002131887591,0.02443455565935379,1.2197594958393756,0.9209105436728802,0.3570971333614048
tr,elasticnet,m3,pre_crisis,8,0.014257655606572708,0.01144406793232515,0.7670234068897424,-1.9035359296246117,0.05697065002714918
tr,elasticnet,m3,covid,7,0.0633996127954425,0.03949764377364961,0.8339119486686962,-1.648969036218922,0.09915397834661599
tr,elasticnet,m3,post_covid,16,0.01338918636295296,0.009631132854341345,1.156814917042482,1.1526739512536819,0.2490442370761048
tr,elasticnet,m3,full,32,0.03202164146240402,0.016737338710357954,0.8500154686111223,-1.5323692098453194,0.12543135104376302
tr,rf,m1,pre_crisis,8,0.014296989874957528,0.010436919087889763,0.7508420706145491,-1.5994756013330933,0.10971496568720496
tr,rf,m1,covid,7,0.07338495243626013,0.04526083390918782,1.0116943709950341,0.1632327214603765,0.8703352037059391
tr,rf,m1,post_covid,16,0.017167696063059613,0.012184211312117901,1.469956873296026,1.8042152117469148,0.07119757555927819
tr,rf,m1,full,32,0.03716175511694753,0.01897649999479135,1.0259932506322196,0.41792866236264575,0.6759992756450499
tr,rf,m2,pre_crisis,8,0.013076356621527951,0.010181218636528239,0.6867374718506251,-1.1958332510027787,0.23176163729706256
tr,rf,m2,covid,7,0.06843352505811935,0.04426799824722607,0.9434333577960862,-0.9424499210591626,0.34596233897903383
tr,rf,m2,post_covid,16,0.012214598180453081,0.009114529393020706,1.0458556863981565,0.22022863649446356,0.8256930953626533
