series,name,freq,block_g,block_s,block_r,block_l,months_lag
rsafsx,RSAFSX,q,1,0,1,0,2
acognox,ACOGNOX,q,1,0,1,0,2
invcqrmtspl,INVCQRMTSPL,q,1,0,1,0,2
pcectpi,PCECTPI,q,1,0,1,0,2
pcepilfe,PCEPILFE,q,1,0,1,0,2
gdpctpi,GDPCTPI,q,1,0,1,0,2
gpdictpi,GPDICTPI,q,1,0,1,0,2
ipdbs,IPDBS,q,1,0,0,1,2
dgdsrg3q086sbea,DGDSRG3Q086SBEA,q,1,0,1,0,2
ddurrg3q086sbea,DDURRG3Q086SBEA,q,1,0,1,0,2
dserrg3q086sbea,DSERRG3Q086SBEA,q,1,0,1,0,2
dndgrg3q086sbea,DNDGRG3Q086SBEA,q,1,0,1,0,2
dhcerg3q086sbea,DHCERG3Q086SBEA,q,1,0,1,0,2
dmotrg3q086sbea,DMOTRG3Q086SBEA,q,1,0,1,0,2
dfdhrg3q086sbea,DFDHRG3Q086SBEA,q,1,0,1,0,2
dreqrg3q086sbea,DREQRG3Q086SBEA,q,1,0,1,0,2
dodgrg3q086sbea,DODGRG3Q086SBEA,q,1,0,1,0,2
dfxarg3q086sbea,DFXARG3Q086SBEA,q,1,0,1,0,2
dclorg3q086sbea,DCLORG3Q086SBEA,q,1,0,1,0,2
dgoerg3q086sbea,DGOERG3Q086SBEA,q,1,0,1,0,2
dongrg3q086sbea,DONGRG3Q086SBEA,q,1,0,1,0,2
dhutrg3q086sbea,DHUTRG3Q086SBEA,q,1,0,1,0,2
dhlcrg3q086sbea,DHLCRG3Q086SBEA,q,1,0,1,0,2
dtrsrg3q086sbea,DTRSRG3Q086SBEA,q,1,0,1,0,2
drcarg3q086sbea,DRCARG3Q086SBEA,q,1,0,1,0,2
dfsarg3q086sbea,DFSARG3Q086SBEA,q,1,0,1,0,2
difsrg3q086sbea,DIFSRG3Q086SBEA,q,1,0,1,0,2
dotsrg3q086sbea,DOTSRG3Q086SBEA,q,1,0,1,0,2
cpilfesl,CPILFESL,q,1,0,1,0,2
ppiaco,PPIACO,q,1,0,1,0,2
wpsfd4111,WPSFD4111,q,1,0,1,0,2
ppiidc,PPIIDC,q,1,0,1,0,2
wpu0531,WPU0531,q,1,0,1,0,2
wpu0561,WPU0561,q,1,0,1,0,2
ahetpix,AHETPIX,q,1,0,0,1,2
ces2000000008x,CES2000000008X,q,1,0,0,1,2
ces3000000008x,CES3000000008X,q,1,0,0,1,2
comprms,COMPRMS,q,1,0,0,1,2
comprnfb,COMPRNFB,q,1,0,0,1,2
rcphbs,RCPHBS,q,1,0,0,1,2
ophmfg,OPHMFG,q,1,0,0,1,2
ophnfb,OPHNFB,q,1,0,0,1,2
ophpbs,OPHPBS,q,1,0,0,1,2
ulcbs,ULCBS,q,1,0,0,1,2
ulcmfg,ULCMFG,q,1,0,0,1,2
ulcnfb,ULCNFB,q,1,0,0,1,2
unlpnbs,UNLPNBS,q,1,0,0,1,2
mortgage30us,MORTGAGE30US,q,1,0,0,0,0
baa10ym,BAA10YM,q,1,0,0,0,0
mortg10yrx,MORTG10YRX,q,1,0,0,0,0
tb6m3mx,TB6M3MX,q,1,0,0,0,0
gs1tb3mx,GS1TB3MX,q,1,0,0,0,0
gs10tb3mx,GS10TB3MX,q,1,0,0,0,0
cpf3mtb3mx,CPF3MTB3MX,q,1,0,0,0,0
bogmbaserealx,BOGMBASEREALX,q,1,0,0,0,2
m1real,M1REAL,q,1,0,0,0,2
busloansx,BUSLOANSX,q,1,0,0,0,2
consumerx,CONSUMERX,q,1,0,0,0,2
nonrevslx,NONREVSLX,q,1,0,0,0,2
reallnx,REALLNX,q,1,0,0,0,2
revolslx,REVOLSLX,q,1,0,0,0,2
