Date,icsa_weekly,nfci_weekly,dtwexbgs,dtwexm,covid_2020q2,covid_2020q3,covid_2020q4
1970-03-14,0.03377431711860446,,,,0,0,0
1970-03-21,-0.026169717733385056,,,,0,0,0
1970-03-28,0.04445176257083361,,,,0,0,0
1970-04-04,-0.010929070532188945,,,,0,0,0
1970-04-11,0.11083998142245122,,,,0,0,0
1970-04-18,0.20394402080711949,,,,0,0,0
1970-04-25,-0.06918387521210434,,,,0,0,0
1970-05-02,-0.043930929225727056,,,,0,0,0
1970-05-09,-0.049089610196523026,,,,0,0,0
1970-05-16,-0.04831857727080724,,,,0,0,0
1970-05-23,-0.023373351185309588,,,,0,0,0
1970-05-30,0.0167508104248153,,,,0,0,0
1970-06-06,0.0,,,,0,0,0
1970-06-13,-0.010016778243469915,,,,0,0,0
1970-06-20,-0.006734032181345384,,,,0,0,0
1970-06-27,-0.01703618715256816,,,,0,0,0
1970-07-04,-0.049305760984152514,,,,0,0,0
1970-07-11,0.03894297394860757,,,,0,0,0
1970-07-18,0.020619287202734427,,,,0,0,0
1970-07-25,-0.024097551579060905,,,,0,0,0
1970-08-01,-0.0949618084369277,,,,0,0,0
1970-08-08,0.018975901459006295,,,,0,0,0
1970-08-15,0.1202861658745018,,,,0,0,0
1970-08-22,0.009950330853168765,,,,0,0,0
1970-08-29,-0.02000066670666989,,,,0,0,0
1970-09-05,0.08701137698962924,,,,0,0,0
1970-09-12,-0.10398971352404729,,,,0,0,0
1970-09-19,0.10707138006145556,,,,0,0,0
1970-09-26,0.02431730765070661,,,,0,0,0
1970-10-03,0.04979066450301595,,,,0,0,0
1970-10-10,-0.06797298358620552,,,,0,0,0
1970-10-17,0.021180822079445605,,,,0,0,0
1970-10-24,-0.012048338516173374,,,,0,0,0
1970-10-31,-0.009132483563272231,,,,0,0,0
1970-11-07,0.027150989065949815,,,,0,0,0
1970-11-14,-0.06771817405495106,,,,0,0,0
1970-11-21,0.0,,,,0,0,0
1970-11-28,0.07068994444410848,,,,0,0,0
1970-12-05,-0.08998314737878665,,,,0,0,0
1970-12-12,-0.006514681021194235,,,,0,0,0
1970-12-19,-0.05715841383994835,,,,0,0,0
1970-12-26,0.10501443501758345,,,,0,0,0
1971-01-02,-0.0577083176206461,0.594,,,0,0,0
