country,model,vintage,panel,n_obs,RMSFE,MAE,rel_RMSFE_vs_ARMA,dm_stat_vs_ARMA,dm_pval_vs_ARMA
us,rf,m1,post_covid,16,0.004532474253160531,0.003378075702884944,0.9769901692316011,-0.7570574865751694,0.44901542262410254
us,rf,m1,full,36,0.01946979402518113,0.007990519733551183,0.9098382749511621,-1.6562031450651225,0.09768068655940554
us,rf,m1,full_ex_2020q2,35,0.01264774533501141,0.005655685659465618,0.819077962422317,-1.6018469303079543,0.10918946232139426
us,rf,m1,non_covid,29,0.005427407532448846,0.0034844655345324968,0.9527948183077987,-1.6349887036002906,0.10205141572603194
us,rf,m2,pre_covid,12,0.0027542976220946516,0.0021854732714613415,0.8884485734981884,-1.2511917204754415,0.21086453821319795
us,rf,m2,covid,7,0.042765652025742194,0.026709145748031824,0.9075245658045077,-1.8069869548971982,0.07076431320991561
us,rf,m2,post_covid,16,0.004517759743750795,0.0033714859651023128,0.9738184069147268,-0.8078949116253339,0.4191510807746228
us,rf,m2,full,36,0.019475367564395312,0.007999415815032903,0.9100987306754212,-1.6597557363901903,0.09696360167562101
us,rf,m2,full_ex_2020q2,35,0.012673102846979454,0.005667171227186537,0.8207201348953341,-1.5967226941985289,0.11032753461245992
us,rf,m2,non_covid,29,0.005420685003636256,0.0034832741070676453,0.9516146617449709,-1.6546793218398468,0.09798956373646894
us,rf,m3,pre_covid,12,0.0027426225342323985,0.0021936260485583502,1.0074091989817366,0.0999135396591942,0.9204129670476722
us,rf,m3,covid,7,0.042778295593928,0.026625655123435014,0.8383810659972514,-0.8843071905060863,0.3765304077442786
us,rf,m3,post_covid,16,0.0045828385720839415,0.0034176172438200687,0.9664119739812685,-2.336479499901923,0.01946626481261604
us,rf,m3,full,36,0.01948969836397485,0.008008945089525214,0.8454111577581217,-0.9032620428258055,0.3663868365660421
us,rf,m3,full_ex_2020q2,35,0.012701740592096734,0.005677822661609659,0.6857990784199806,-1.0692770145541253,0.2849448647067596
us,rf,m3,non_covid,29,0.005460397566755038,0.003515256460650434,0.9758694237220551,-1.6518082535640486,0.09857364562488335
us,rf,post1,pre_covid,12,0.002714746657175933,0.0021659415048490833,0.9971699427130184,-0.04017966553660507,0.9679498890880656
us,rf,post1,covid,7,0.04273470228928491,0.026547927052877236,0.837526712154734,-0.8838463258912335,0.37677917484268386
us,rf,post1,post_covid,16,0.0045768155001035095,0.0034141916028412253,0.9651418509362419,-2.452608477615571,0.014182460986527312
us,rf,post1,full,36,0.019472380026717674,0.00798606572426496,0.84465993445658,-0.9024993636298714,0.36679165933049074
