country,model,vintage,panel,n_obs,RMSFE,MAE,rel_RMSFE_vs_ARMA,dm_stat_vs_ARMA,dm_pval_vs_ARMA
us,deepvar,m1,covid,7,0.04285574480162179,0.027152364609699452,0.9094364133606502,-1.8146327755310243,0.06958036216224661
us,deepvar,m1,post_covid,16,0.004324318277744917,0.003295561356842406,0.9321214440521783,-1.3540103202558211,0.17573308519967812
us,deepvar,m1,full,36,0.019477270719248325,0.008007120334529015,0.9101876665484043,-1.6982312133371948,0.0894641315646878
us,deepvar,m2,pre_covid,12,0.002668161335289792,0.0020885130548086504,0.8606637544124395,-2.235709658278304,0.025370795966624504
us,deepvar,m2,covid,7,0.04285437856034587,0.027148933323985176,0.9094074205249986,-1.8149677735679568,0.06952886208478737
us,deepvar,m2,post_covid,16,0.004324430822976455,0.0032955115068424063,0.9321457035578401,-1.355450694724455,0.17527400737331877
us,deepvar,m2,full,36,0.01947670521814597,0.008006488520640126,0.91016124025202,-1.6984068037730997,0.08943100885511801
us,deepvar,m3,pre_covid,12,0.0026704794786574387,0.0020903093048086495,0.980909898796702,-0.32919844919078234,0.7420056950380383
us,deepvar,m3,covid,7,0.04285351631852912,0.027149114995413743,0.8398552629095081,-0.8937244709926769,0.37146932900478724
us,deepvar,m3,post_covid,16,0.0043245099071092105,0.0032947141755924067,0.9119365847378172,-2.446536009042958,0.01442363886063025
us,deepvar,m3,full,36,0.019476478661123425,0.008006795559529014,0.8448377222906185,-0.9229724351470194,0.35602157028260084
us,bvar,m1,pre_covid,12,0.004106078194951237,0.003460793619262817,1.3244898756446293,1.13400218524406,0.25679363137000655
us,bvar,m1,covid,7,0.04078669102130702,0.025003516807021623,0.865529281242658,-0.946339518891188,0.34397544291772775
us,bvar,m1,post_covid,16,0.010413072641798181,0.0077323908544955945,2.2445730597228035,2.2231977787745336,0.026202466556076942
us,bvar,m1,full,36,0.01964357705975937,0.009940468248634223,0.9179592882598775,-0.6192056242043071,0.5357809072356858
us,bvar,m2,pre_covid,12,0.004724190582378025,0.003688439636254542,1.5238732191386597,1.4801116218384172,0.13884346053925833
us,bvar,m2,covid,7,0.03019980298007104,0.01795125730623167,0.6408662510365408,-1.1277431435349743,0.25942841141153483
us,bvar,m2,post_covid,16,0.009151885460035097,0.007752226146914987,1.9727198931473415,2.3924980979065325,0.016734114832766434
us,bvar,m2,full,36,0.015256904632369958,0.008712389140688533,0.7129667511559993,-0.97670423673347,0.3287155970808058
us,bvar,m3,pre_covid,12,0.004563169410416086,0.0037605086369355907,1.6761252353130796,2.211687752161583,0.0269882473568841
us,bvar,m3,covid,7,0.026029913363193796,0.01962438419768564,0.5101415615153235,-1.5256489539145923,0.12709731351525488
us,bvar,m3,post_covid,16,0.010946126746771746,0.009151856045345044,2.3082785462343978,3.105955083707679,0.0018966552304926498
us,bvar,m3,full,36,0.014438075157186269,0.00981421506970599,0.6262852100880965,-1.2115711024408256,0.22567660189032024
us,midas,m1,pre_covid,12,0.0026881764263794556,0.002053207041461517,0.8671199844815504,-2.5534521673045187,0.010666092780112102
us,midas,m1,covid,7,0.041888739304648,0.026441325295790824,0.8889157103618168,-2.156627636660513,0.031034689394978443
us,midas,m1,post_covid,16,0.004428438486204934,0.0034195853953684937,0.9545649074679601,-1.0932734145682201,0.2742737718830013
us,midas,m1,full,36,0.01906736116146811,0.007904711164907732,0.8910322813165734,-1.8822800239652597,0.059798005293169254
us,midas,m2,pre_covid,12,0.002665424288803458,0.002018452880402108,0.8597808705051687,-2.730310984031844,0.0063274605914152016
us,midas,m2,covid,7,0.038643773980294165,0.024447996119225827,0.8200547060852477,-2.1576224037084213,0.030957201385446442
us,midas,m2,post_covid,16,0.004497518980004306,0.003471146349295069,0.9694554417673197,-0.78890366365991,0.43016831425906954
us,midas,m2,full,36,0.017685110142085365,0.007522924860384232,0.8264386404491795,-1.8540552535240742,0.06373125549899261
us,midas,m3,pre_covid,12,0.0026940631446640832,0.002048415842360833,0.9895725571772348,-0.17618245837638602,0.8601506014107185
us,midas,m3,covid,7,0.03815012702154663,0.02401850184646797,0.7476769169081786,-1.3173887463823004,0.18770835116531948
us,midas,m3,post_covid,16,0.004522516998464393,0.003476831983706306,0.9536915846159464,-1.282790945220158,0.1995653272729654
us,midas,m3,full,36,0.01748923208229703,0.007460143601970615,0.7586362634695878,-1.2773888046613067,0.20146501525889038
us,midasml,m1,pre_covid,12,0.0027265139341000285,0.002143559813568683,0.8794864418217397,-1.7262599898652782,0.08430064989757602
us,midasml,m1,covid,7,0.04286530126330872,0.02681208603089953,0.9096392098417568,-1.8352494347804222,0.06646873948929932
us,midasml,m1,post_covid,16,0.004307273981230111,0.003328910869256469,0.9284474882376864,-1.2021315232065755,0.229312574717647
us,midasml,m1,full,36,0.01948658704132595,0.007978185416514308,0.910623025360985,-1.7070769352349602,0.08780775349788583
us,midasml,m2,pre_covid,12,0.002809856014931987,0.0021921368508499915,0.9063699391727678,-0.9133773969956844,0.3610440890915334
us,midasml,m2,covid,7,0.04211686132252921,0.025965386327912704,0.8937566592406851,-2.064272131820517,0.03899192175716193
us,midasml,m2,post_covid,16,0.004491581011639085,0.0035033566535888567,0.9681754925841591,-0.5222727739241596,0.6014804227683475
us,midasml,m2,full,36,0.019207889924343576,0.007924271555234893,0.8975992972300582,-1.7988593752548652,0.07204092821072328
us,midasml,m3,pre_covid,12,0.0029042573351273086,0.0023308020683948916,1.0667802510549624,0.6015229574077411,0.547491725724726
us,midasml,m3,covid,7,0.04067763252863614,0.024650973990002385,0.7972116805523946,-0.9509956561846228,0.3416065809472508
us,midasml,m3,post_covid,16,0.004453035684399114,0.0033280087862637567,0.9390396232115751,-1.6254466949985793,0.10406741314686352
us,midasml,m3,full,36,0.01860241035098323,0.007642862051215831,0.8069229691612836,-0.9612662184415307,0.3364183288612339
us,dfm,m1,pre_covid,12,0.0040897041035540945,0.0032400713454427007,1.3192081159584494,1.1135485356522172,0.26547291530762496
us,dfm,m1,covid,7,0.033340888281088506,0.024430806338161783,0.7075228302989103,-1.2105728166414462,0.22605916767653422
